method_name,successfully_fuzzed,#_failures,failure_id,parent_result,parent_exception,failure_result,failure_exception,reproducibility
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractPathHandle#testOpenFileApplyRead,False,0,null,null,null,null,null,null
org.apache.hadoop.ipc.TestSaslRPC#testTokenOnlyServer,False,0,null,null,null,null,null,null
org.apache.hadoop.ipc.TestIPC#testIOEOnServerReadParam,True,2,000000,True,no_exception,False,(java.lang.AssertionError),True
org.apache.hadoop.ipc.TestIPC#testIOEOnServerReadParam,True,2,000001,True,no_exception,False,(java.lang.AssertionError),True
org.apache.hadoop.io.file.tfile.TestVLong#testVLong4Bytes,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractMkdir#testMkdirSlashHandling,False,0,null,null,null,null,null,null
org.apache.hadoop.security.TestLdapGroupsMappingWithPosixGroup#testGetGroups,True,1,000000,True,no_exception,True,no_exception,False
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractDelete#testDeleteSingleFile,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractOpen#testOpenFileNullStatus,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.TestLocalFileSystem#testAppendSetsPosCorrectly,True,0,null,null,null,null,null,null
org.apache.hadoop.ha.TestZKFailoverControllerStress#testExpireBackAndForth,False,0,null,null,null,null,null,null
org.apache.hadoop.security.TestGroupFallback#testGroupWithFallback,True,3,000000,True,no_exception,True,no_exception,False
org.apache.hadoop.security.TestGroupFallback#testGroupWithFallback,True,3,000002,True,no_exception,True,no_exception,False
org.apache.hadoop.security.TestGroupFallback#testGroupWithFallback,True,3,000001,True,no_exception,True,no_exception,False
org.apache.hadoop.crypto.TestCryptoStreamsForLocalFS#testAvailable,False,0,null,null,null,null,null,null
org.apache.hadoop.io.TestMapFile#testFixBlockCompress,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.sftp.TestSFTPFileSystem#testCloseFileSystemClosesConnectionPool,True,0,null,null,null,null,null,null
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testWriteReadAndDeleteEmptyFile,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractCreate#testFileStatusBlocksizeNonEmptyFile,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.contract.sftp.TestSFTPContractSeek#testSeekBigFile,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testGlobStatusWithMultipleMatchesOfSingleChar,False,0,null,null,null,null,null,null
org.apache.hadoop.ha.TestFailoverController#testFailbackToFaultyServiceFails,True,0,null,null,null,null,null,null
org.apache.hadoop.fs.viewfs.TestViewFsLocalFs#testInternalCreateMissingDir,False,0,null,null,null,null,null,null
org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsByteArrays#testTwoBlocks,False,0,null,null,null,null,null,null
org.apache.hadoop.ipc.TestAsyncIPC#testAsyncCall,True,1,000000,False,(java.util.concurrent.ExecutionException),False,no_exception,True
org.apache.hadoop.fs.TestFsShellReturnCode#testRmForceWithNonexistentGlob,True,4,000000,True,no_exception,True,no_exception,False
org.apache.hadoop.fs.TestFsShellReturnCode#testRmForceWithNonexistentGlob,True,4,000002,True,no_exception,False,(java.lang.AssertionError),True
org.apache.hadoop.fs.TestFsShellReturnCode#testRmForceWithNonexistentGlob,True,4,000001,True,no_exception,False,(java.lang.AssertionError),True
org.apache.hadoop.fs.TestFsShellReturnCode#testRmForceWithNonexistentGlob,True,4,000003,True,no_exception,True,no_exception,False
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testListStatus,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractOpen#testAwaitFutureFailToFNFE,False,0,null,null,null,null,null,null
org.apache.hadoop.io.TestSequenceFile#testRecursiveSeqFileCreate,True,3,000000,False,(java.io.FileNotFoundException),False,no_exception,True
org.apache.hadoop.io.TestSequenceFile#testRecursiveSeqFileCreate,True,3,000002,False,(java.io.FileNotFoundException),False,no_exception,True
org.apache.hadoop.io.TestSequenceFile#testRecursiveSeqFileCreate,True,3,000001,False,(java.io.FileNotFoundException),False,no_exception,True
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testOpenFileRead,False,0,null,null,null,null,null,null
org.apache.hadoop.fs.TestHarFileSystem#testHarUri,True,0,null,null,null,null,null,null
org.apache.hadoop.fs.ftp.TestFTPFileSystem#testFTPTransferMode,True,2,000000,True,no_exception,False,(java.lang.AssertionError),True
org.apache.hadoop.fs.ftp.TestFTPFileSystem#testFTPTransferMode,True,2,000001,True,no_exception,False,(java.lang.AssertionError),True
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testListStatusFilterWithSomeMatches,False,0,null,null,null,null,null,null
org.apache.hadoop.security.TestUserGroupInformation#testEquals,True,2,000000,False,(java.lang.RuntimeException),False,no_exception,True
org.apache.hadoop.security.TestUserGroupInformation#testEquals,True,2,000001,False,(java.lang.RuntimeException),False,no_exception,True
org.apache.hadoop.net.TestNetUtils#testInvalidAddress,True,0,null,null,null,null,null,null
org.apache.hadoop.fs.viewfs.TestHCFSMountTableConfigLoader#testMountTableFileWithInvalidFormatWithNoDotsInName,True,0,null,null,null,null,null,null
org.apache.hadoop.util.TestGenericOptionsParser#testTokenCacheOption,False,0,null,null,null,null,null,null
org.apache.hadoop.io.compress.TestCodec#testBZip2NativeCodec,False,0,null,null,null,null,null,null
org.apache.hadoop.io.compress.TestCodec#testBuiltInGzipConcat,True,2,000000,True,no_exception,False,(java.lang.IllegalArgumentException),True
