Test Method,# configuration parameter,Configuration Key
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testCommitterNullOutputPath,26,[mapreduce.outputcommitter.factory.class=;mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;mapreduce.fileoutputcommitter.algorithm.version=2;mapreduce.fileoutputcommitter.cleanup.skipped=false;mapreduce.fileoutputcommitter.cleanup-failures.ignored=false;]
org.apache.hadoop.mapred.lib.db.TestDBInputFormat#testDBInputFormat,28,[mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;mapreduce.jdbc.username=null;mapreduce.jdbc.input.table.name=null;mapreduce.jdbc.input.field.names=null;mapreduce.jdbc.input.conditions=null;mapreduce.jdbc.input.class=null;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;mapreduce.jdbc.input.count.query=null;]
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testSafeguardSplittingUnsplittableFiles,35,[textinputformat.record.delimiter=null;mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.creation.parallel.count=64;fs.defaultFS=file:///;fs.file.impl.disable.cache=false;fs.file.impl=null;file.bytes-per-checksum=1268463776;fs.client.resolve.remote.symlinks=false;fs.local.block.size=1311230615;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;io.file.buffer.size=4096;file.stream-buffer-size=4096;io.compression.codecs=null;]
org.apache.hadoop.mapreduce.security.TestTokenCache#testBinaryCredentialsWithScheme,32,[mapreduce.framework.name=yarn;yarn.resourcemanager.ha.enabled=false;yarn.resourcemanager.address=0.0.0.0:8032;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;fs.creation.parallel.count=64;fs.defaultFS=hdfs://localhost:42181;fs.file.impl.disable.cache=false;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.file.impl=null;file.bytes-per-checksum=1268463776;fs.client.resolve.remote.symlinks=false;fs.local.block.size=1311230615;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;io.file.buffer.size=4096;fs.permissions.umask-mode=022;]
org.apache.hadoop.mapred.TestLineRecordReader#testUncompressedInputCustomDelimiterPosValue,28,[fs.creation.parallel.count=64;fs.defaultFS=file:///;fs.file.impl.disable.cache=false;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.file.impl=null;file.bytes-per-checksum=1268463776;fs.client.resolve.remote.symlinks=false;fs.local.block.size=1311230615;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;fs.permissions.umask-mode=022;]
org.apache.hadoop.mapreduce.task.reduce.TestMerger#testEncryptedMerger,58,[mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;fs.creation.parallel.count=64;fs.defaultFS=hdfs://localhost:42181;fs.file.impl.disable.cache=false;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.file.impl=null;file.bytes-per-checksum=1268463776;fs.client.resolve.remote.symlinks=false;fs.local.block.size=1311230615;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;mapreduce.reduce.shuffle.input.buffer.percent=0.70;mapreduce.reduce.memory.totalbytes=8346664960;mapreduce.task.io.sort.factor=10;mapreduce.reduce.shuffle.memory.limit.percent=0.25;mapreduce.reduce.merge.memtomem.threshold=10;mapreduce.reduce.shuffle.merge.percent=0.66;mapreduce.reduce.merge.memtomem.enabled=false;io.serializations=org.apache.hadoop.io.serializer.WritableSerialization, org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization, org.apache.hadoop.io.serializer.avro.AvroReflectSerialization;mapreduce.ifile.readahead=true;mapreduce.ifile.readahead.bytes=4194304;io.file.buffer.size=4096;fs.permissions.umask-mode=022;hadoop.security.crypto.cipher.suite=AES/CTR/NoPadding;hadoop.security.crypto.codec.classes.aes.ctr.nopadding=org.apache.hadoop.crypto.OpensslAesCtrCryptoCodec, org.apache.hadoop.crypto.JceAesCtrCryptoCodec;hadoop.security.crypto.jce.provider=null;hadoop.security.java.secure.random.algorithm=SHA1PRNG;mapreduce.job.encrypted-intermediate-data.buffer.kb=128;mapreduce.map.output.key.class=null;mapreduce.job.output.key.class=null;mapreduce.map.output.value.class=null;mapreduce.job.output.value.class=null;mapreduce.job.output.key.comparator.class=null;mapreduce.task.merge.progress.records=10000;file.stream-buffer-size=4096;mapreduce.reduce.input.buffer.percent=0.0;mapreduce.task.files.preserve.failedtasks=false;dfs.bytes-per-checksum=1691875108;]
org.apache.hadoop.mapred.TestCounters#testCounterIteratorConcurrency,8,[mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;mapreduce.job.counters.group.name.max=128;mapreduce.job.counters.counter.name.max=64;mapreduce.job.counters.groups.max=50;mapreduce.job.counters.max=120;]
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostConnectionTimeout,10,[mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;mapreduce.reduce.shuffle.connect.timeout=180000;mapreduce.reduce.shuffle.read.timeout=180000;mapreduce.reduce.shuffle.fetch.retry.interval-ms=1000;mapreduce.reduce.shuffle.fetch.retry.timeout-ms=30000;yarn.nodemanager.recovery.enabled=false;mapreduce.shuffle.ssl.enabled=false;]
org.apache.hadoop.mapreduce.tools.TestCLI#testGetJobWithoutRetry,1,[yarn.app.mapreduce.client.job.retry-interval=2000;]
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testBadCommitterFactory,1,[mapreduce.outputcommitter.factory.class=null;]
org.apache.hadoop.mapred.TestLineRecordReader#testUncompressedInputWithLargeSplitSize,29,[fs.creation.parallel.count=64;fs.defaultFS=file:///;fs.file.impl.disable.cache=false;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.file.impl=null;file.bytes-per-checksum=1268463776;fs.client.resolve.remote.symlinks=false;fs.local.block.size=1311230615;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;io.file.buffer.size=4096;fs.permissions.umask-mode=022;]
org.apache.hadoop.mapred.TestFileOutputCommitter#testCommitterWithFailureV2,40,[mapred.task.maxvmem=null;mapred.child.ulimit=null;mapreduce.map.ulimit=null;mapreduce.reduce.ulimit=null;fs.creation.parallel.count=64;fs.defaultFS=hdfs://localhost:42181;fs.file.impl.disable.cache=false;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.file.impl=null;file.bytes-per-checksum=1268463776;fs.client.resolve.remote.symlinks=false;fs.local.block.size=1311230615;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;mapreduce.fileoutputcommitter.cleanup.skipped=false;mapreduce.fileoutputcommitter.cleanup-failures.ignored=false;mapreduce.job.application.attempt.id=0;fs.permissions.umask-mode=022;mapreduce.output.fileoutputformat.compress=false;mapreduce.output.textoutputformat.separator=	;mapred.output.committer.class=null;mapreduce.task.output.dir=null;io.file.buffer.size=4096;]
org.apache.hadoop.mapreduce.lib.db.TestDbClasses#testOracleDBRecordReader,2,[oracle.sessionTimeZone=GMT;mapreduce.jdbc.input.query=null;]
